"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 02:39:32 GMT 2022","Wed Oct 26 02:39:47 GMT 2022","14860","","empty spec","","","","5-2. class insert(강의 라이브 강의 참여하기-강의실 입장))",""
"passed","Wed Oct 26 02:34:26 GMT 2022","Wed Oct 26 02:34:31 GMT 2022","4980","","empty spec","","","","1-1. Login failse (error email&error password)",""
"passed","Wed Oct 26 02:40:56 GMT 2022","Wed Oct 26 02:41:33 GMT 2022","37352","","empty spec","","","","6-1. class update",""
"passed","Wed Oct 26 02:40:13 GMT 2022","Wed Oct 26 02:40:33 GMT 2022","19815","","empty spec","","","","5-5. class insert(강의 공개)",""
"passed","Wed Oct 26 02:33:12 GMT 2022","Wed Oct 26 02:33:57 GMT 2022","45504","","empty spec","","","","0. 사이트 개설",""
"failed","Wed Oct 26 02:41:33 GMT 2022","Wed Oct 26 02:41:52 GMT 2022","18845","","empty spec","","","","6-2. class update(수강생)",""
"passed","Wed Oct 26 02:34:57 GMT 2022","Wed Oct 26 02:35:03 GMT 2022","6275","","empty spec","","","","2-1. createaccount failse (error email)",""
"passed","Wed Oct 26 02:37:23 GMT 2022","Wed Oct 26 02:37:45 GMT 2022","21982","","empty spec","","","","4-2. site service (구독관리)",""
"passed","Wed Oct 26 02:35:14 GMT 2022","Wed Oct 26 02:35:18 GMT 2022","4252","","empty spec","","","","2-5. createaccount failse(no checkbox)",""
"passed","Wed Oct 26 02:36:11 GMT 2022","Wed Oct 26 02:36:20 GMT 2022","9346","","empty spec","","","","3-2. editinformation email check",""
"passed","Wed Oct 26 02:35:06 GMT 2022","Wed Oct 26 02:35:10 GMT 2022","3474","","empty spec","","","","2-3. createaccount failse(no email & password)",""
"passed","Wed Oct 26 02:34:40 GMT 2022","Wed Oct 26 02:34:45 GMT 2022","5379","","empty spec","","","","1-4. Login should mypage login & logout",""
"passed","Wed Oct 26 02:38:59 GMT 2022","Wed Oct 26 02:39:32 GMT 2022","32972","","empty spec","","","","5-1. class insert(강의 라이브 생성))",""
"failed","Wed Oct 26 02:36:39 GMT 2022","Wed Oct 26 02:37:23 GMT 2022","43789","","empty spec","","","","4-1. site check",""
"passed","Wed Oct 26 02:43:41 GMT 2022","Wed Oct 26 02:44:10 GMT 2022","28622","","empty spec","","","","6-8. class update(클래스 복제 & 삭제))",""
"passed","Wed Oct 26 02:35:43 GMT 2022","Wed Oct 26 02:36:11 GMT 2022","28289","","empty spec","","","","3-1. editinformation page check",""
"passed","Wed Oct 26 02:35:10 GMT 2022","Wed Oct 26 02:35:14 GMT 2022","3712","","empty spec","","","","2-4. createaccount failse(no checkbox)",""
"passed","Wed Oct 26 02:34:31 GMT 2022","Wed Oct 26 02:34:36 GMT 2022","5446","","empty spec","","","","1-2. Login failse(no password)",""
"failed","Wed Oct 26 02:42:31 GMT 2022","Wed Oct 26 02:42:52 GMT 2022","21359","","empty spec","","","","6-5. class update(추가 정보))",""
"failed","Wed Oct 26 02:42:10 GMT 2022","Wed Oct 26 02:42:30 GMT 2022","20061","","empty spec","","","","6-4. class update(결제 설정)",""
"passed","Wed Oct 26 02:37:45 GMT 2022","Wed Oct 26 02:38:33 GMT 2022","48695","","empty spec","","","","4-3. site service (구독 나머지)",""
"passed","Wed Oct 26 02:34:12 GMT 2022","Wed Oct 26 02:34:26 GMT 2022","14393","","empty spec","","","","1. login menu test",""
"passed","Wed Oct 26 02:35:03 GMT 2022","Wed Oct 26 02:35:06 GMT 2022","3465","","empty spec","","","","2-2. createaccount failse(no password)",""
"failed","Wed Oct 26 02:43:15 GMT 2022","Wed Oct 26 02:43:41 GMT 2022","26294","","empty spec","","","","6-7. class update(강의 관리- 라이브 미팅 추가))",""
"passed","Wed Oct 26 02:39:47 GMT 2022","Wed Oct 26 02:40:02 GMT 2022","15247","","empty spec","","","","5-3. class insert(강의 라이브 강의 참여하기-팝업))",""
"passed","Wed Oct 26 02:35:27 GMT 2022","Wed Oct 26 02:35:43 GMT 2022","15220","","empty spec","","","","3. mypage page check",""
"failed","Wed Oct 26 02:41:52 GMT 2022","Wed Oct 26 02:42:10 GMT 2022","18419","","empty spec","","","","6-3. class update(클래스 설정)",""
"passed","Wed Oct 26 02:34:36 GMT 2022","Wed Oct 26 02:34:40 GMT 2022","3191","","empty spec","","","","1-3. Login failse(no email & password)",""
"passed","Wed Oct 26 02:40:02 GMT 2022","Wed Oct 26 02:40:13 GMT 2022","11314","","empty spec","","","","5-4. class insert(강의 라이브 강의 참여하기-나의 강의실))",""
"failed","Wed Oct 26 02:42:52 GMT 2022","Wed Oct 26 02:43:15 GMT 2022","23114","","empty spec","","","","6-6. class update(강의 관리- 라이브 미팅 추가))",""
