"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 14 07:35:47 GMT 2022","Mon Nov 14 07:36:23 GMT 2022","36122","","empty spec","","","","5-5. class insert(강의 공개)",""
"passed","Mon Nov 14 07:28:39 GMT 2022","Mon Nov 14 07:29:12 GMT 2022","32763","","empty spec","","","","0. 사이트 개설",""
"failed","Mon Nov 14 07:41:50 GMT 2022","Mon Nov 14 07:42:32 GMT 2022","42038","","empty spec","","","","6-9. 원복",""
"passed","Mon Nov 14 07:34:00 GMT 2022","Mon Nov 14 07:34:43 GMT 2022","43140","","empty spec","","","","4-3. site service (구독 나머지)",""
"passed","Mon Nov 14 07:31:34 GMT 2022","Mon Nov 14 07:32:17 GMT 2022","43131","","empty spec","","","","3-1. editinformation page check",""
"passed","Mon Nov 14 07:30:53 GMT 2022","Mon Nov 14 07:31:01 GMT 2022","7849","","empty spec","","","","2-4. createaccount failse(no checkbox)",""
"failed","Mon Nov 14 07:45:02 GMT 2022","Mon Nov 14 07:45:39 GMT 2022","36780","","empty spec","","","","7-3. 유료로 설정한 클래스이거나 할인 금액이 0보다 큰 경우 운영자 승인이 활성화되어도 저장 가능",""
"passed","Mon Nov 14 07:30:30 GMT 2022","Mon Nov 14 07:30:39 GMT 2022","8746","","empty spec","","","","2-1. createaccount failse (error email)",""
"failed","Mon Nov 14 07:38:58 GMT 2022","Mon Nov 14 07:39:40 GMT 2022","41273","","empty spec","","","","6-5. class update(추가 정보))",""
"passed","Mon Nov 14 07:32:17 GMT 2022","Mon Nov 14 07:32:35 GMT 2022","17760","","empty spec","","","","3-2. editinformation email check",""
"passed","Mon Nov 14 07:32:53 GMT 2022","Mon Nov 14 07:33:28 GMT 2022","34907","","empty spec","","","","4-1. site check",""
"failed","Mon Nov 14 07:38:22 GMT 2022","Mon Nov 14 07:38:58 GMT 2022","36017","","empty spec","","","","6-4. class update(결제 설정)",""
"failed","Mon Nov 14 07:43:40 GMT 2022","Mon Nov 14 07:44:25 GMT 2022","44521","","empty spec","","","","7-1. 무료로 설정한 클래스에서 운영자 승인이 활성화되어 있으면 저장 방지 확인",""
"passed","Mon Nov 14 07:30:46 GMT 2022","Mon Nov 14 07:30:53 GMT 2022","7206","","empty spec","","","","2-3. createaccount failse(no email & password)",""
"failed","Mon Nov 14 07:37:18 GMT 2022","Mon Nov 14 07:37:50 GMT 2022","31991","","empty spec","","","","6-2. class update(수강생)",""
"passed","Mon Nov 14 07:35:09 GMT 2022","Mon Nov 14 07:35:47 GMT 2022","37766","","empty spec","","","","5-1. class insert(강의 라이브 생성))",""
"failed","Mon Nov 14 07:47:31 GMT 2022","Mon Nov 14 07:48:18 GMT 2022","47360","","empty spec","","","","7-6. 원복",""
"failed","Mon Nov 14 07:46:56 GMT 2022","Mon Nov 14 07:47:31 GMT 2022","35392","","empty spec","","","","7-5. 유료로 설정한 클래스에서 할인 금액이 0인 경우 서비스 구독 수강신청 건수 차감 안 됨",""
