"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Oct 19 05:47:14 GMT 2022","Wed Oct 19 05:47:44 GMT 2022","29921","","empty spec","","","","0. 사이트 개설",""
"passed","Wed Oct 19 05:50:06 GMT 2022","Wed Oct 19 05:50:17 GMT 2022","11526","","empty spec","","","","3-2. editinformation email check",""
"broken","Wed Oct 19 05:52:28 GMT 2022","Wed Oct 19 05:52:39 GMT 2022","11309","","empty spec","","","","5-1. class insert(강의 라이브 생성))",""
"passed","Wed Oct 19 05:49:04 GMT 2022","Wed Oct 19 05:49:08 GMT 2022","4381","","empty spec","","","","2-4. createaccount failse(no checkbox)",""
"passed","Wed Oct 19 05:48:59 GMT 2022","Wed Oct 19 05:49:04 GMT 2022","4501","","empty spec","","","","2-3. createaccount failse(no email & password)",""
"skipped","Wed Oct 19 05:52:39 GMT 2022","Wed Oct 19 05:52:39 GMT 2022","1","","empty spec","","","","5-3. class insert(강의 라이브 강의 참여하기-팝업))",""
"passed","Wed Oct 19 05:51:29 GMT 2022","Wed Oct 19 05:52:03 GMT 2022","33563","","empty spec","","","","4-2. site service (구독 나머지)",""
"passed","Wed Oct 19 05:48:21 GMT 2022","Wed Oct 19 05:48:25 GMT 2022","3493","","empty spec","","","","1-3. Login failse(no email & password)",""
"passed","Wed Oct 19 05:48:55 GMT 2022","Wed Oct 19 05:48:59 GMT 2022","3862","","empty spec","","","","2-2. createaccount failse(no password)",""
"passed","Wed Oct 19 05:48:10 GMT 2022","Wed Oct 19 05:48:15 GMT 2022","5170","","empty spec","","","","1-1. Login failse (error email&error password)",""
"skipped","Wed Oct 19 05:52:39 GMT 2022","Wed Oct 19 05:52:39 GMT 2022","0","","empty spec","","","","5-4. class insert(강의 라이브 강의 참여하기-나의 강의실))",""
"passed","Wed Oct 19 05:49:24 GMT 2022","Wed Oct 19 05:49:35 GMT 2022","10563","","empty spec","","","","3. mypage page check",""
"skipped","Wed Oct 19 05:52:39 GMT 2022","Wed Oct 19 05:52:39 GMT 2022","0","","empty spec","","","","5-2. class insert(강의 라이브 강의 참여하기-강의실 입장))",""
"passed","Wed Oct 19 05:47:58 GMT 2022","Wed Oct 19 05:48:10 GMT 2022","12357","","empty spec","","","","1. login menu test",""
"skipped","Wed Oct 19 05:52:39 GMT 2022","Wed Oct 19 05:52:39 GMT 2022","0","","empty spec","","","","5-5. class insert(강의 공개)",""
"passed","Wed Oct 19 05:49:08 GMT 2022","Wed Oct 19 05:49:12 GMT 2022","4111","","empty spec","","","","2-5. createaccount failse(no checkbox)",""
"passed","Wed Oct 19 05:50:35 GMT 2022","Wed Oct 19 05:51:12 GMT 2022","37075","","empty spec","","","","4-1. site check",""
"passed","Wed Oct 19 05:48:15 GMT 2022","Wed Oct 19 05:48:21 GMT 2022","5950","","empty spec","","","","1-2. Login failse(no password)",""
"passed","Wed Oct 19 05:51:12 GMT 2022","Wed Oct 19 05:51:29 GMT 2022","17356","","empty spec","","","","4-2. site service (구독관리)",""
"passed","Wed Oct 19 05:48:25 GMT 2022","Wed Oct 19 05:48:33 GMT 2022","7939","","empty spec","","","","1-4. Login should mypage login & logout",""
"passed","Wed Oct 19 05:49:35 GMT 2022","Wed Oct 19 05:50:05 GMT 2022","30773","","empty spec","","","","3-1. editinformation page check",""
"passed","Wed Oct 19 05:48:49 GMT 2022","Wed Oct 19 05:48:55 GMT 2022","6780","","empty spec","","","","2-1. createaccount failse (error email)",""
