"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 20 09:02:23 GMT 2022","Thu Oct 20 09:02:38 GMT 2022","14208","","empty spec","","","","3-2. editinformation email check",""
"failed","Thu Oct 20 09:02:08 GMT 2022","Thu Oct 20 09:02:23 GMT 2022","15291","","empty spec","","","","3-1. editinformation page check",""
"failed","Thu Oct 20 09:01:45 GMT 2022","Thu Oct 20 09:02:08 GMT 2022","22692","","empty spec","","","","3. mypage page check",""
