"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 25 06:10:09 GMT 2022","Tue Oct 25 06:11:00 GMT 2022","50111","","empty spec","","","","6-4. class update(결제 설정)",""
"failed","Tue Oct 25 06:09:15 GMT 2022","Tue Oct 25 06:10:09 GMT 2022","54310","","empty spec","","","","6-3. class update(클래스 설정)",""
"passed","Tue Oct 25 06:08:34 GMT 2022","Tue Oct 25 06:09:15 GMT 2022","41301","","empty spec","","","","6-2. class update(수강생)",""
"failed","Tue Oct 25 06:13:43 GMT 2022","Tue Oct 25 06:14:23 GMT 2022","39915","","empty spec","","","","6-8. class update(클래스 복제 & 삭제))",""
"passed","Tue Oct 25 06:12:07 GMT 2022","Tue Oct 25 06:13:00 GMT 2022","53316","","empty spec","","","","6-6. class update(강의 관리- 라이브 미팅 추가))",""
"failed","Tue Oct 25 06:13:01 GMT 2022","Tue Oct 25 06:13:43 GMT 2022","42276","","empty spec","","","","6-7. class update(강의 관리- 라이브 미팅 추가))",""
"passed","Tue Oct 25 06:07:50 GMT 2022","Tue Oct 25 06:08:34 GMT 2022","43849","","empty spec","","","","6-1. class update",""
"failed","Tue Oct 25 06:11:00 GMT 2022","Tue Oct 25 06:12:07 GMT 2022","67386","","empty spec","","","","6-5. class update(추가 정보))",""
