"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 15 04:56:50 GMT 2022","Tue Nov 15 04:57:36 GMT 2022","46049","","empty spec","","","","6-6. class update(강의 관리- 라이브 미팅 추가))",""
"failed","Tue Nov 15 04:59:22 GMT 2022","Tue Nov 15 05:00:16 GMT 2022","53978","","empty spec","","","","6-9. 원복",""
"passed","Tue Nov 15 04:47:55 GMT 2022","Tue Nov 15 04:48:04 GMT 2022","9090","","empty spec","","","","2-5. createaccount failse(no checkbox)",""
"failed","Tue Nov 15 05:03:05 GMT 2022","Tue Nov 15 05:03:47 GMT 2022","42503","","empty spec","","","","7-3. 유료로 설정한 클래스이거나 할인 금액이 0보다 큰 경우 운영자 승인이 활성화되어도 저장 가능",""
"passed","Tue Nov 15 04:46:58 GMT 2022","Tue Nov 15 04:47:07 GMT 2022","9698","","empty spec","","","","1-4. Login should mypage login & logout",""
"passed","Tue Nov 15 04:48:30 GMT 2022","Tue Nov 15 04:49:15 GMT 2022","44345","","empty spec","","","","3-1. editinformation page check",""
"failed","Tue Nov 15 04:54:50 GMT 2022","Tue Nov 15 04:55:28 GMT 2022","37979","","empty spec","","","","6-3. class update(클래스 설정)",""
"passed","Tue Nov 15 04:47:26 GMT 2022","Tue Nov 15 04:47:35 GMT 2022","8973","","empty spec","","","","2-1. createaccount failse (error email)",""
"passed","Tue Nov 15 04:52:10 GMT 2022","Tue Nov 15 04:52:43 GMT 2022","32394","","empty spec","","","","5-1. class insert(강의 라이브 생성))",""
"failed","Tue Nov 15 05:05:14 GMT 2022","Tue Nov 15 05:05:55 GMT 2022","40704","","empty spec","","","","7-5. 유료로 설정한 클래스에서 할인 금액이 0인 경우 서비스 구독 수강신청 건수 차감 안 됨",""
"failed","Tue Nov 15 04:57:36 GMT 2022","Tue Nov 15 04:58:28 GMT 2022","52082","","empty spec","","","","6-7. class update(강의 관리- 라이브 미팅 추가))",""
