"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 27 02:02:18 GMT 2022","Thu Oct 27 02:02:42 GMT 2022","24143","","empty spec","","","","6-8. class update(클래스 복제 & 삭제))",""
"passed","Thu Oct 27 01:53:51 GMT 2022","Thu Oct 27 01:53:54 GMT 2022","3405","","empty spec","","","","2-4. createaccount failse(no checkbox)",""
"failed","Thu Oct 27 01:58:45 GMT 2022","Thu Oct 27 01:59:06 GMT 2022","21186","","empty spec","","","","5-5. class insert(강의 공개)",""
"passed","Thu Oct 27 01:53:07 GMT 2022","Thu Oct 27 01:53:11 GMT 2022","4448","","empty spec","","","","1-1. Login failse (error email&error password)",""
"failed","Thu Oct 27 01:57:29 GMT 2022","Thu Oct 27 01:57:57 GMT 2022","28358","","empty spec","","","","5-1. class insert(강의 라이브 생성))",""
"passed","Thu Oct 27 01:53:47 GMT 2022","Thu Oct 27 01:53:51 GMT 2022","3707","","empty spec","","","","2-3. createaccount failse(no email & password)",""
"failed","Thu Oct 27 02:00:42 GMT 2022","Thu Oct 27 02:01:04 GMT 2022","22162","","empty spec","","","","6-4. class update(결제 설정)",""
"passed","Thu Oct 27 01:53:38 GMT 2022","Thu Oct 27 01:53:44 GMT 2022","5940","","empty spec","","","","2-1. createaccount failse (error email)",""
"passed","Thu Oct 27 01:53:20 GMT 2022","Thu Oct 27 01:53:27 GMT 2022","6796","","empty spec","","","","1-4. Login should mypage login & logout",""
"passed","Thu Oct 27 01:55:12 GMT 2022","Thu Oct 27 01:56:01 GMT 2022","49514","","empty spec","","","","4-1. site check",""
"passed","Thu Oct 27 01:54:18 GMT 2022","Thu Oct 27 01:54:46 GMT 2022","28054","","empty spec","","","","3-1. editinformation page check",""
"failed","Thu Oct 27 01:57:57 GMT 2022","Thu Oct 27 01:58:18 GMT 2022","20262","","empty spec","","","","5-2. class insert(강의 라이브 강의 참여하기-강의실 입장))",""
"failed","Thu Oct 27 02:00:21 GMT 2022","Thu Oct 27 02:00:42 GMT 2022","20570","","empty spec","","","","6-3. class update(클래스 설정)",""
"passed","Thu Oct 27 01:52:10 GMT 2022","Thu Oct 27 01:52:44 GMT 2022","34264","","empty spec","","","","0. 사이트 개설",""
"passed","Thu Oct 27 01:56:28 GMT 2022","Thu Oct 27 01:57:04 GMT 2022","35455","","empty spec","","","","4-3. site service (구독 나머지)",""
"passed","Thu Oct 27 01:58:18 GMT 2022","Thu Oct 27 01:58:32 GMT 2022","13997","","empty spec","","","","5-3. class insert(강의 라이브 강의 참여하기-팝업))",""
"failed","Thu Oct 27 01:59:29 GMT 2022","Thu Oct 27 02:00:01 GMT 2022","31878","","empty spec","","","","6-1. class update",""
"passed","Thu Oct 27 01:58:32 GMT 2022","Thu Oct 27 01:58:45 GMT 2022","13085","","empty spec","","","","5-4. class insert(강의 라이브 강의 참여하기-나의 강의실))",""
"failed","Thu Oct 27 02:01:26 GMT 2022","Thu Oct 27 02:01:49 GMT 2022","22761","","empty spec","","","","6-6. class update(강의 관리- 라이브 미팅 추가))",""
"passed","Thu Oct 27 01:54:46 GMT 2022","Thu Oct 27 01:54:57 GMT 2022","10816","","empty spec","","","","3-2. editinformation email check",""
"passed","Thu Oct 27 01:53:54 GMT 2022","Thu Oct 27 01:53:58 GMT 2022","3933","","empty spec","","","","2-5. createaccount failse(no checkbox)",""
"passed","Thu Oct 27 01:54:07 GMT 2022","Thu Oct 27 01:54:18 GMT 2022","10285","","empty spec","","","","3. mypage page check",""
"passed","Thu Oct 27 01:56:02 GMT 2022","Thu Oct 27 01:56:28 GMT 2022","26627","","empty spec","","","","4-2. site service (구독관리)",""
"failed","Thu Oct 27 02:00:01 GMT 2022","Thu Oct 27 02:00:21 GMT 2022","20362","","empty spec","","","","6-2. class update(수강생)",""
"passed","Thu Oct 27 01:52:56 GMT 2022","Thu Oct 27 01:53:07 GMT 2022","10629","","empty spec","","","","1. login menu test",""
"failed","Thu Oct 27 02:01:49 GMT 2022","Thu Oct 27 02:02:18 GMT 2022","29441","","empty spec","","","","6-7. class update(강의 관리- 라이브 미팅 추가))",""
"failed","Thu Oct 27 02:01:04 GMT 2022","Thu Oct 27 02:01:26 GMT 2022","21444","","empty spec","","","","6-5. class update(추가 정보))",""
"passed","Thu Oct 27 01:53:44 GMT 2022","Thu Oct 27 01:53:47 GMT 2022","3240","","empty spec","","","","2-2. createaccount failse(no password)",""
"passed","Thu Oct 27 01:53:12 GMT 2022","Thu Oct 27 01:53:17 GMT 2022","5570","","empty spec","","","","1-2. Login failse(no password)",""
"passed","Thu Oct 27 01:53:17 GMT 2022","Thu Oct 27 01:53:20 GMT 2022","3126","","empty spec","","","","1-3. Login failse(no email & password)",""
