"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 21 05:09:32 GMT 2022","Mon Nov 21 05:10:19 GMT 2022","46639","","empty spec","","","","3-1. editinformation page check",""
"failed","Mon Nov 21 05:20:11 GMT 2022","Mon Nov 21 05:21:06 GMT 2022","55331","","empty spec","","","","6-8. class update(클래스 복제 & 삭제))",""
"failed","Mon Nov 21 05:16:15 GMT 2022","Mon Nov 21 05:16:59 GMT 2022","43707","","empty spec","","","","6-3. class update(클래스 설정)",""
"passed","Mon Nov 21 05:07:23 GMT 2022","Mon Nov 21 05:07:33 GMT 2022","9699","","empty spec","","","","1-1. Login failse (error email&error password)",""
"failed","Mon Nov 21 05:23:47 GMT 2022","Mon Nov 21 05:24:31 GMT 2022","44460","","empty spec","","","","7-1. 무료로 설정한 클래스에서 운영자 승인이 활성화되어 있으면 저장 방지 확인",""
"passed","Mon Nov 21 05:10:59 GMT 2022","Mon Nov 21 05:11:37 GMT 2022","38060","","empty spec","","","","4-1. site check",""
"passed","Mon Nov 21 05:08:53 GMT 2022","Mon Nov 21 05:09:04 GMT 2022","10412","","empty spec","","","","2-5. createaccount failse(no checkbox)",""
"passed","Mon Nov 21 05:25:26 GMT 2022","Mon Nov 21 05:26:15 GMT 2022","48352","","empty spec","","","","7-3. 유료로 설정한 클래스이거나 할인 금액이 0보다 큰 경우 운영자 승인이 활성화되어도 저장 가능",""
"failed","Mon Nov 21 05:14:46 GMT 2022","Mon Nov 21 05:15:32 GMT 2022","46174","","empty spec","","","","6-1. class update",""
"failed","Mon Nov 21 05:19:20 GMT 2022","Mon Nov 21 05:20:11 GMT 2022","51289","","empty spec","","","","6-7. class update(강의 관리- 라이브 미팅 추가))",""
"passed","Mon Nov 21 05:13:16 GMT 2022","Mon Nov 21 05:13:54 GMT 2022","37751","","empty spec","","","","5-1. class insert(강의 라이브 생성))",""
"passed","Mon Nov 21 05:08:28 GMT 2022","Mon Nov 21 05:08:36 GMT 2022","7908","","empty spec","","","","2-2. createaccount failse(no password)",""
"failed","Mon Nov 21 05:17:44 GMT 2022","Mon Nov 21 05:18:31 GMT 2022","46768","","empty spec","","","","6-5. class update(추가 정보))",""
"failed","Mon Nov 21 05:13:54 GMT 2022","Mon Nov 21 05:14:27 GMT 2022","33326","","empty spec","","","","5-5. class insert(강의 공개)",""
"passed","Mon Nov 21 05:11:37 GMT 2022","Mon Nov 21 05:12:02 GMT 2022","25200","","empty spec","","","","4-2. site service (구독관리)",""
"passed","Mon Nov 21 05:08:44 GMT 2022","Mon Nov 21 05:08:53 GMT 2022","8938","","empty spec","","","","2-4. createaccount failse(no checkbox)",""
"failed","Mon Nov 21 05:21:06 GMT 2022","Mon Nov 21 05:22:19 GMT 2022","73039","","empty spec","","","","6-9. 원복",""
"passed","Mon Nov 21 05:07:50 GMT 2022","Mon Nov 21 05:08:02 GMT 2022","12019","","empty spec","","","","1-4. Login should mypage login & logout",""
"failed","Mon Nov 21 05:18:31 GMT 2022","Mon Nov 21 05:19:20 GMT 2022","48799","","empty spec","","","","6-6. class update(강의 관리- 라이브 미팅 추가))",""
"failed","Mon Nov 21 05:24:31 GMT 2022","Mon Nov 21 05:25:26 GMT 2022","55172","","empty spec","","","","7-2. 유료에서 할인 금액이 0인 경우 운영자 승인이 활성화되어 있으면 저장 방지",""
"failed","Mon Nov 21 05:30:02 GMT 2022","Mon Nov 21 05:31:07 GMT 2022","64618","","empty spec","","","","7-6. 원복",""
"failed","Mon Nov 21 05:15:32 GMT 2022","Mon Nov 21 05:16:15 GMT 2022","42649","","empty spec","","","","6-2. class update(수강생)",""
"passed","Mon Nov 21 05:06:20 GMT 2022","Mon Nov 21 05:06:56 GMT 2022","36287","","empty spec","","","","0. 사이트 개설",""
"failed","Mon Nov 21 05:16:59 GMT 2022","Mon Nov 21 05:17:44 GMT 2022","45085","","empty spec","","","","6-4. class update(결제 설정)",""
"passed","Mon Nov 21 05:08:36 GMT 2022","Mon Nov 21 05:08:44 GMT 2022","8610","","empty spec","","","","2-3. createaccount failse(no email & password)",""
"failed","Mon Nov 21 05:27:07 GMT 2022","Mon Nov 21 05:28:30 GMT 2022","82058","","empty spec","","","","7-4. 무료로 설정한 클래스에서 수강신청을 한 경우 서비스 구독 수강신청 건수 차감 안 됨",""
"passed","Mon Nov 21 05:08:18 GMT 2022","Mon Nov 21 05:08:28 GMT 2022","10207","","empty spec","","","","2-1. createaccount failse (error email)",""
"passed","Mon Nov 21 05:09:18 GMT 2022","Mon Nov 21 05:09:32 GMT 2022","14607","","empty spec","","","","3. mypage page check",""
"passed","Mon Nov 21 05:07:42 GMT 2022","Mon Nov 21 05:07:50 GMT 2022","7574","","empty spec","","","","1-3. Login failse(no email & password)",""
"failed","Mon Nov 21 05:28:30 GMT 2022","Mon Nov 21 05:30:02 GMT 2022","92362","","empty spec","","","","7-5. 유료로 설정한 클래스에서 할인 금액이 0인 경우 서비스 구독 수강신청 건수 차감 안 됨",""
"failed","Mon Nov 21 05:26:15 GMT 2022","Mon Nov 21 05:27:07 GMT 2022","52428","","empty spec","","","","7-3 원복",""
"passed","Mon Nov 21 05:07:33 GMT 2022","Mon Nov 21 05:07:42 GMT 2022","9503","","empty spec","","","","1-2. Login failse(no password)",""
"passed","Mon Nov 21 05:10:19 GMT 2022","Mon Nov 21 05:10:38 GMT 2022","19537","","empty spec","","","","3-2. editinformation email check",""
