"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 14 08:28:28 GMT 2022","Mon Nov 14 08:29:46 GMT 2022","78026","","empty spec","","","","6-3. class update(클래스 설정)",""
"passed","Mon Nov 14 08:27:11 GMT 2022","Mon Nov 14 08:27:50 GMT 2022","39140","","empty spec","","","","6-1. class update",""
"passed","Mon Nov 14 08:20:39 GMT 2022","Mon Nov 14 08:20:47 GMT 2022","7514","","empty spec","","","","2-3. createaccount failse(no email & password)",""
"passed","Mon Nov 14 08:22:21 GMT 2022","Mon Nov 14 08:22:39 GMT 2022","18079","","empty spec","","","","3-2. editinformation email check",""
"failed","Mon Nov 14 08:29:46 GMT 2022","Mon Nov 14 08:30:36 GMT 2022","49832","","empty spec","","","","6-4. class update(결제 설정)",""
"passed","Mon Nov 14 08:20:47 GMT 2022","Mon Nov 14 08:20:55 GMT 2022","8315","","empty spec","","","","2-4. createaccount failse(no checkbox)",""
"passed","Mon Nov 14 08:20:22 GMT 2022","Mon Nov 14 08:20:31 GMT 2022","9294","","empty spec","","","","2-1. createaccount failse (error email)",""
"passed","Mon Nov 14 08:38:00 GMT 2022","Mon Nov 14 08:38:50 GMT 2022","49628","","empty spec","","","","7-1. 무료로 설정한 클래스에서 운영자 승인이 활성화되어 있으면 저장 방지 확인",""
"failed","Mon Nov 14 08:42:21 GMT 2022","Mon Nov 14 08:44:01 GMT 2022","100030","","empty spec","","","","7-5. 유료로 설정한 클래스에서 할인 금액이 0인 경우 서비스 구독 수강신청 건수 차감 안 됨",""
"passed","Mon Nov 14 08:40:08 GMT 2022","Mon Nov 14 08:40:58 GMT 2022","49485","","empty spec","","","","7-3 원복",""
"passed","Mon Nov 14 08:18:23 GMT 2022","Mon Nov 14 08:18:59 GMT 2022","36357","","empty spec","","","","0. 사이트 개설",""
"passed","Mon Nov 14 08:20:55 GMT 2022","Mon Nov 14 08:21:04 GMT 2022","8704","","empty spec","","","","2-5. createaccount failse(no checkbox)",""
"passed","Mon Nov 14 08:31:40 GMT 2022","Mon Nov 14 08:32:58 GMT 2022","78363","","empty spec","","","","6-6. class update(강의 관리- 라이브 미팅 추가))",""
"passed","Mon Nov 14 08:19:15 GMT 2022","Mon Nov 14 08:19:28 GMT 2022","13454","","empty spec","","","","1. login menu test",""
"passed","Mon Nov 14 08:23:04 GMT 2022","Mon Nov 14 08:23:45 GMT 2022","41212","","empty spec","","","","4-1. site check",""
"failed","Mon Nov 14 08:26:18 GMT 2022","Mon Nov 14 08:26:50 GMT 2022","31815","","empty spec","","","","5-5. class insert(강의 공개)",""
