"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 24 01:15:52 GMT 2022","Mon Oct 24 01:16:35 GMT 2022","42536","","empty spec","","","","4-2. site service (구독 나머지)",""
"failed","Mon Oct 24 01:15:25 GMT 2022","Mon Oct 24 01:15:52 GMT 2022","27705","","empty spec","","","","4-2. site service (구독관리)",""
"passed","Mon Oct 24 01:14:47 GMT 2022","Mon Oct 24 01:15:25 GMT 2022","37254","","empty spec","","","","4-1. site check",""
