"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 03 10:59:23 GMT 2022","Thu Nov 03 11:00:25 GMT 2022","61547","","empty spec","","","","6-9. 원복",""
"passed","Thu Nov 03 10:51:37 GMT 2022","Thu Nov 03 10:52:18 GMT 2022","41055","","empty spec","","","","5-5. class insert(강의 공개)",""
"failed","Thu Nov 03 10:57:20 GMT 2022","Thu Nov 03 10:58:18 GMT 2022","58896","","empty spec","","","","6-7. class update(강의 관리- 라이브 미팅 추가))",""
"passed","Thu Nov 03 10:45:31 GMT 2022","Thu Nov 03 10:45:40 GMT 2022","8728","","empty spec","","","","2-3. createaccount failse(no email & password)",""
"passed","Thu Nov 03 10:45:40 GMT 2022","Thu Nov 03 10:45:50 GMT 2022","10254","","empty spec","","","","2-4. createaccount failse(no checkbox)",""
"failed","Thu Nov 03 10:56:25 GMT 2022","Thu Nov 03 10:57:19 GMT 2022","53973","","empty spec","","","","6-6. class update(강의 관리- 라이브 미팅 추가))",""
"failed","Thu Nov 03 10:54:51 GMT 2022","Thu Nov 03 10:55:35 GMT 2022","44350","","empty spec","","","","6-4. class update(결제 설정)",""
"passed","Thu Nov 03 10:44:20 GMT 2022","Thu Nov 03 10:44:31 GMT 2022","10676","","empty spec","","","","1-2. Login failse(no password)",""
"passed","Thu Nov 03 10:47:29 GMT 2022","Thu Nov 03 10:47:50 GMT 2022","21069","","empty spec","","","","3-2. editinformation email check",""
"failed","Thu Nov 03 10:55:35 GMT 2022","Thu Nov 03 10:56:25 GMT 2022","50162","","empty spec","","","","6-5. class update(추가 정보))",""
"passed","Thu Nov 03 10:49:23 GMT 2022","Thu Nov 03 10:50:21 GMT 2022","57947","","empty spec","","","","4-3. site service (구독 나머지)",""
"failed","Thu Nov 03 10:54:10 GMT 2022","Thu Nov 03 10:54:50 GMT 2022","40870","","empty spec","","","","6-3. class update(클래스 설정)",""
"failed","Thu Nov 03 10:52:44 GMT 2022","Thu Nov 03 10:53:30 GMT 2022","45573","","empty spec","","","","6-1. class update",""
"passed","Thu Nov 03 10:50:56 GMT 2022","Thu Nov 03 10:51:37 GMT 2022","40428","","empty spec","","","","5-1. class insert(강의 라이브 생성))",""
"failed","Thu Nov 03 10:53:30 GMT 2022","Thu Nov 03 10:54:10 GMT 2022","39805","","empty spec","","","","6-2. class update(수강생)",""
"passed","Thu Nov 03 10:45:50 GMT 2022","Thu Nov 03 10:46:01 GMT 2022","10855","","empty spec","","","","2-5. createaccount failse(no checkbox)",""
"passed","Thu Nov 03 10:45:09 GMT 2022","Thu Nov 03 10:45:21 GMT 2022","11688","","empty spec","","","","2-1. createaccount failse (error email)",""
"passed","Thu Nov 03 10:48:54 GMT 2022","Thu Nov 03 10:49:23 GMT 2022","28630","","empty spec","","","","4-2. site service (구독관리)",""
"passed","Thu Nov 03 10:46:20 GMT 2022","Thu Nov 03 10:46:35 GMT 2022","15493","","empty spec","","","","3. mypage page check",""
"passed","Thu Nov 03 10:58:19 GMT 2022","Thu Nov 03 10:59:23 GMT 2022","64332","","empty spec","","","","6-8. class update(클래스 복제 & 삭제))",""
"passed","Thu Nov 03 10:42:58 GMT 2022","Thu Nov 03 10:43:38 GMT 2022","40466","","empty spec","","","","0. 사이트 개설",""
"passed","Thu Nov 03 10:43:56 GMT 2022","Thu Nov 03 10:44:11 GMT 2022","14591","","empty spec","","","","1. login menu test",""
"passed","Thu Nov 03 10:44:39 GMT 2022","Thu Nov 03 10:44:50 GMT 2022","10742","","empty spec","","","","1-4. Login should mypage login & logout",""
"passed","Thu Nov 03 10:46:35 GMT 2022","Thu Nov 03 10:47:29 GMT 2022","53534","","empty spec","","","","3-1. editinformation page check",""
"passed","Thu Nov 03 10:48:18 GMT 2022","Thu Nov 03 10:48:54 GMT 2022","36174","","empty spec","","","","4-1. site check",""
"passed","Thu Nov 03 10:44:31 GMT 2022","Thu Nov 03 10:44:39 GMT 2022","7896","","empty spec","","","","1-3. Login failse(no email & password)",""
"passed","Thu Nov 03 10:45:21 GMT 2022","Thu Nov 03 10:45:31 GMT 2022","9914","","empty spec","","","","2-2. createaccount failse(no password)",""
"passed","Thu Nov 03 10:44:11 GMT 2022","Thu Nov 03 10:44:20 GMT 2022","9344","","empty spec","","","","1-1. Login failse (error email&error password)",""
