"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 27 05:41:09 GMT 2022","Thu Oct 27 05:41:29 GMT 2022","20129","","empty spec","","","","4-2. site service (구독관리)",""
"passed","Thu Oct 27 05:39:12 GMT 2022","Thu Oct 27 05:39:51 GMT 2022","38864","","empty spec","","","","3-1. editinformation page check",""
"passed","Thu Oct 27 05:40:20 GMT 2022","Thu Oct 27 05:41:09 GMT 2022","48477","","empty spec","","","","4-1. site check",""
"failed","Thu Oct 27 05:46:50 GMT 2022","Thu Oct 27 05:47:18 GMT 2022","28115","","empty spec","","","","6-8. class update(클래스 복제 & 삭제))",""
"passed","Thu Oct 27 05:39:51 GMT 2022","Thu Oct 27 05:40:03 GMT 2022","11204","","empty spec","","","","3-2. editinformation email check",""
"passed","Thu Oct 27 05:37:42 GMT 2022","Thu Oct 27 05:37:57 GMT 2022","14819","","empty spec","","","","1. login menu test",""
"passed","Thu Oct 27 05:38:47 GMT 2022","Thu Oct 27 05:38:51 GMT 2022","4404","","empty spec","","","","2-5. createaccount failse(no checkbox)",""
"passed","Thu Oct 27 05:38:01 GMT 2022","Thu Oct 27 05:38:07 GMT 2022","5875","","empty spec","","","","1-2. Login failse(no password)",""
"passed","Thu Oct 27 05:38:43 GMT 2022","Thu Oct 27 05:38:47 GMT 2022","3749","","empty spec","","","","2-4. createaccount failse(no checkbox)",""
"failed","Thu Oct 27 05:43:58 GMT 2022","Thu Oct 27 05:44:28 GMT 2022","30147","","empty spec","","","","6-2. class update(수강생)",""
"failed","Thu Oct 27 05:43:26 GMT 2022","Thu Oct 27 05:43:58 GMT 2022","32083","","empty spec","","","","6-1. class update",""
"failed","Thu Oct 27 05:45:30 GMT 2022","Thu Oct 27 05:45:54 GMT 2022","24491","","empty spec","","","","6-5. class update(추가 정보))",""
"failed","Thu Oct 27 05:45:54 GMT 2022","Thu Oct 27 05:46:22 GMT 2022","28104","","empty spec","","","","6-6. class update(강의 관리- 라이브 미팅 추가))",""
"passed","Thu Oct 27 05:38:07 GMT 2022","Thu Oct 27 05:38:10 GMT 2022","3346","","empty spec","","","","1-3. Login failse(no email & password)",""
"passed","Thu Oct 27 05:38:29 GMT 2022","Thu Oct 27 05:38:35 GMT 2022","6754","","empty spec","","","","2-1. createaccount failse (error email)",""
"passed","Thu Oct 27 05:38:39 GMT 2022","Thu Oct 27 05:38:43 GMT 2022","3768","","empty spec","","","","2-3. createaccount failse(no email & password)",""
"passed","Thu Oct 27 05:36:42 GMT 2022","Thu Oct 27 05:37:27 GMT 2022","44249","","empty spec","","","","0. 사이트 개설",""
"passed","Thu Oct 27 05:38:35 GMT 2022","Thu Oct 27 05:38:39 GMT 2022","3630","","empty spec","","","","2-2. createaccount failse(no password)",""
"failed","Thu Oct 27 05:46:22 GMT 2022","Thu Oct 27 05:46:50 GMT 2022","27189","","empty spec","","","","6-7. class update(강의 관리- 라이브 미팅 추가))",""
"failed","Thu Oct 27 05:44:51 GMT 2022","Thu Oct 27 05:45:30 GMT 2022","38657","","empty spec","","","","6-4. class update(결제 설정)",""
"passed","Thu Oct 27 05:37:57 GMT 2022","Thu Oct 27 05:38:01 GMT 2022","4541","","empty spec","","","","1-1. Login failse (error email&error password)",""
"passed","Thu Oct 27 05:42:36 GMT 2022","Thu Oct 27 05:43:13 GMT 2022","36417","","empty spec","","","","5-1. class insert(강의 라이브 생성))",""
"passed","Thu Oct 27 05:38:10 GMT 2022","Thu Oct 27 05:38:16 GMT 2022","5577","","empty spec","","","","1-4. Login should mypage login & logout",""
"passed","Thu Oct 27 05:39:01 GMT 2022","Thu Oct 27 05:39:12 GMT 2022","11273","","empty spec","","","","3. mypage page check",""
"passed","Thu Oct 27 05:41:29 GMT 2022","Thu Oct 27 05:42:09 GMT 2022","40154","","empty spec","","","","4-3. site service (구독 나머지)",""
"failed","Thu Oct 27 05:44:28 GMT 2022","Thu Oct 27 05:44:51 GMT 2022","23054","","empty spec","","","","6-3. class update(클래스 설정)",""
