"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 08 00:44:18 GMT 2022","Tue Nov 08 00:44:29 GMT 2022","10697","","empty spec","","","","2-3. createaccount failse(no email & password)",""
"failed","Tue Nov 08 00:52:54 GMT 2022","Tue Nov 08 00:53:39 GMT 2022","45177","","empty spec","","","","6-5. class update(추가 정보))",""
"failed","Tue Nov 08 00:53:39 GMT 2022","Tue Nov 08 00:54:27 GMT 2022","48334","","empty spec","","","","6-6. class update(강의 관리- 라이브 미팅 추가))",""
"passed","Tue Nov 08 00:43:55 GMT 2022","Tue Nov 08 00:44:07 GMT 2022","12298","","empty spec","","","","2-1. createaccount failse (error email)",""
"failed","Tue Nov 08 00:49:56 GMT 2022","Tue Nov 08 00:50:36 GMT 2022","40427","","empty spec","","","","6-1. class update",""
"passed","Tue Nov 08 00:42:16 GMT 2022","Tue Nov 08 00:42:42 GMT 2022","26061","","empty spec","","","","1. login menu test",""
"failed","Tue Nov 08 00:56:12 GMT 2022","Tue Nov 08 00:57:05 GMT 2022","53224","","empty spec","","","","6-9. 원복",""
"failed","Tue Nov 08 00:45:33 GMT 2022","Tue Nov 08 00:45:43 GMT 2022","9981","","empty spec","","","","3-2. editinformation email check",""
"failed","Tue Nov 08 00:50:36 GMT 2022","Tue Nov 08 00:51:21 GMT 2022","44669","","empty spec","","","","6-2. class update(수강생)",""
"failed","Tue Nov 08 00:45:55 GMT 2022","Tue Nov 08 00:46:27 GMT 2022","31099","","empty spec","","","","4-1. site check",""
"passed","Tue Nov 08 00:46:57 GMT 2022","Tue Nov 08 00:47:53 GMT 2022","55250","","empty spec","","","","4-3. site service (구독 나머지)",""
"failed","Tue Nov 08 00:49:02 GMT 2022","Tue Nov 08 00:49:37 GMT 2022","35212","","empty spec","","","","5-5. class insert(강의 공개)",""
"failed","Tue Nov 08 00:55:18 GMT 2022","Tue Nov 08 00:56:12 GMT 2022","54475","","empty spec","","","","6-8. class update(클래스 복제 & 삭제))",""
"failed","Tue Nov 08 00:52:06 GMT 2022","Tue Nov 08 00:52:54 GMT 2022","47519","","empty spec","","","","6-4. class update(결제 설정)",""
"passed","Tue Nov 08 00:43:09 GMT 2022","Tue Nov 08 00:43:20 GMT 2022","11260","","empty spec","","","","1-3. Login failse(no email & password)",""
"failed","Tue Nov 08 00:42:55 GMT 2022","Tue Nov 08 00:43:09 GMT 2022","13956","","empty spec","","","","1-2. Login failse(no password)",""
"passed","Tue Nov 08 00:46:27 GMT 2022","Tue Nov 08 00:46:57 GMT 2022","30724","","empty spec","","","","4-2. site service (구독관리)",""
"passed","Tue Nov 08 00:48:22 GMT 2022","Tue Nov 08 00:49:02 GMT 2022","40042","","empty spec","","","","5-1. class insert(강의 라이브 생성))",""
"passed","Tue Nov 08 00:44:08 GMT 2022","Tue Nov 08 00:44:18 GMT 2022","10423","","empty spec","","","","2-2. createaccount failse(no password)",""
"failed","Tue Nov 08 00:43:20 GMT 2022","Tue Nov 08 00:43:35 GMT 2022","14985","","empty spec","","","","1-4. Login should mypage login & logout",""
"passed","Tue Nov 08 00:44:29 GMT 2022","Tue Nov 08 00:44:38 GMT 2022","9161","","empty spec","","","","2-4. createaccount failse(no checkbox)",""
"failed","Tue Nov 08 00:45:03 GMT 2022","Tue Nov 08 00:45:22 GMT 2022","18563","","empty spec","","","","3. mypage page check",""
"failed","Tue Nov 08 00:51:21 GMT 2022","Tue Nov 08 00:52:06 GMT 2022","45036","","empty spec","","","","6-3. class update(클래스 설정)",""
"passed","Tue Nov 08 00:44:38 GMT 2022","Tue Nov 08 00:44:48 GMT 2022","10628","","empty spec","","","","2-5. createaccount failse(no checkbox)",""
"failed","Tue Nov 08 00:45:22 GMT 2022","Tue Nov 08 00:45:33 GMT 2022","11212","","empty spec","","","","3-1. editinformation page check",""
"failed","Tue Nov 08 00:54:27 GMT 2022","Tue Nov 08 00:55:18 GMT 2022","50319","","empty spec","","","","6-7. class update(강의 관리- 라이브 미팅 추가))",""
"passed","Tue Nov 08 00:42:42 GMT 2022","Tue Nov 08 00:42:55 GMT 2022","12784","","empty spec","","","","1-1. Login failse (error email&error password)",""
