"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Oct 19 00:51:37 GMT 2022","Wed Oct 19 00:52:00 GMT 2022","22638","","empty spec","","","","5-5. class insert(강의 공개)",""
"passed","Wed Oct 19 00:45:53 GMT 2022","Wed Oct 19 00:45:56 GMT 2022","3527","","empty spec","","","","1-3. Login failse(no email & password)",""
"passed","Wed Oct 19 00:45:46 GMT 2022","Wed Oct 19 00:45:53 GMT 2022","6665","","empty spec","","","","1-2. Login failse(no password)",""
"passed","Wed Oct 19 00:47:39 GMT 2022","Wed Oct 19 00:47:52 GMT 2022","13212","","empty spec","","","","3-2. editinformation email check",""
"passed","Wed Oct 19 00:51:08 GMT 2022","Wed Oct 19 00:51:22 GMT 2022","13739","","empty spec","","","","5-3. class insert(강의 라이브 강의 참여하기-팝업))",""
"passed","Wed Oct 19 00:48:50 GMT 2022","Wed Oct 19 00:49:10 GMT 2022","20611","","empty spec","","","","4-2. site service (구독관리)",""
"passed","Wed Oct 19 00:51:22 GMT 2022","Wed Oct 19 00:51:37 GMT 2022","14700","","empty spec","","","","5-4. class insert(강의 라이브 강의 참여하기-나의 강의실))",""
"passed","Wed Oct 19 00:44:41 GMT 2022","Wed Oct 19 00:45:13 GMT 2022","31438","","empty spec","","","","0. 사이트 개설",""
"passed","Wed Oct 19 00:45:40 GMT 2022","Wed Oct 19 00:45:46 GMT 2022","5652","","empty spec","","","","1-1. Login failse (error email&error password)",""
"passed","Wed Oct 19 00:46:25 GMT 2022","Wed Oct 19 00:46:29 GMT 2022","4207","","empty spec","","","","2-2. createaccount failse(no password)",""
"passed","Wed Oct 19 00:48:12 GMT 2022","Wed Oct 19 00:48:49 GMT 2022","37037","","empty spec","","","","4-1. site check",""
"passed","Wed Oct 19 00:45:29 GMT 2022","Wed Oct 19 00:45:40 GMT 2022","11231","","empty spec","","","","1. login menu test",""
"passed","Wed Oct 19 00:47:07 GMT 2022","Wed Oct 19 00:47:39 GMT 2022","32162","","empty spec","","","","3-1. editinformation page check",""
"passed","Wed Oct 19 00:46:18 GMT 2022","Wed Oct 19 00:46:25 GMT 2022","7025","","empty spec","","","","2-1. createaccount failse (error email)",""
"passed","Wed Oct 19 00:46:29 GMT 2022","Wed Oct 19 00:46:34 GMT 2022","4523","","empty spec","","","","2-3. createaccount failse(no email & password)",""
"passed","Wed Oct 19 00:46:34 GMT 2022","Wed Oct 19 00:46:38 GMT 2022","4266","","empty spec","","","","2-4. createaccount failse(no checkbox)",""
"passed","Wed Oct 19 00:46:55 GMT 2022","Wed Oct 19 00:47:07 GMT 2022","11312","","empty spec","","","","3. mypage page check",""
"passed","Wed Oct 19 00:46:38 GMT 2022","Wed Oct 19 00:46:42 GMT 2022","4214","","empty spec","","","","2-5. createaccount failse(no checkbox)",""
"passed","Wed Oct 19 00:50:13 GMT 2022","Wed Oct 19 00:50:42 GMT 2022","29152","","empty spec","","","","5-1. class insert(강의 라이브 생성))",""
"passed","Wed Oct 19 00:45:56 GMT 2022","Wed Oct 19 00:46:02 GMT 2022","6110","","empty spec","","","","1-4. Login should mypage login & logout",""
"passed","Wed Oct 19 00:49:10 GMT 2022","Wed Oct 19 00:49:43 GMT 2022","32306","","empty spec","","","","4-2. site service (구독 나머지)",""
"passed","Wed Oct 19 00:50:42 GMT 2022","Wed Oct 19 00:51:08 GMT 2022","25983","","empty spec","","","","5-2. class insert(강의 라이브 강의 참여하기-강의실 입장))",""
