"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 20 09:50:17 GMT 2022","Thu Oct 20 09:50:41 GMT 2022","24467","","empty spec","","","","3. mypage page check",""
"failed","Thu Oct 20 09:50:41 GMT 2022","Thu Oct 20 09:50:59 GMT 2022","17129","","empty spec","","","","3-1. editinformation page check",""
"passed","Thu Oct 20 09:50:59 GMT 2022","Thu Oct 20 09:51:14 GMT 2022","15849","","empty spec","","","","3-2. editinformation email check",""
