"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 28 00:11:38 GMT 2022","Fri Oct 28 00:12:06 GMT 2022","28554","","empty spec","","","","7-3. 유료로 설정한 클래스이거나 할인 금액이 0보다 큰 경우 운영자 승인이 활성화되어도 저장 가능",""
"failed","Fri Oct 28 00:12:06 GMT 2022","Fri Oct 28 00:12:55 GMT 2022","48290","","empty spec","","","","7-4. 무료로 설정한 클래스에서 수강신청을 한 경우 서비스 구독 수강신청 건수 차감 안 됨",""
"failed","Fri Oct 28 00:12:55 GMT 2022","Fri Oct 28 00:13:41 GMT 2022","46306","","empty spec","","","","7-5. 유료로 설정한 클래스에서 할인 금액이 0인 경우 서비스 구독 수강신청 건수 차감 안 됨",""
"passed","Fri Oct 28 00:11:01 GMT 2022","Fri Oct 28 00:11:38 GMT 2022","36480","","empty spec","","","","7-2. 유료에서 할인 금액이 0인 경우 운영자 승인이 활성화되어 있으면 저장 방지",""
"passed","Fri Oct 28 00:13:41 GMT 2022","Fri Oct 28 00:14:19 GMT 2022","38476","","empty spec","","","","7-6. 원복",""
"failed","Fri Oct 28 00:09:43 GMT 2022","Fri Oct 28 00:11:01 GMT 2022","78577","","empty spec","","","","7-1. 무료로 설정한 클래스에서 운영자 승인이 활성화되어 있으면 저장 방지 확인",""
