"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 27 05:54:20 GMT 2022","Thu Oct 27 05:54:50 GMT 2022","29707","","empty spec","","","","3-1. editinformation page check",""
"failed","Thu Oct 27 06:01:30 GMT 2022","Thu Oct 27 06:01:53 GMT 2022","22737","","empty spec","","","","6-4. class update(결제 설정)",""
"failed","Thu Oct 27 05:59:21 GMT 2022","Thu Oct 27 05:59:41 GMT 2022","19684","","empty spec","","","","5-5. class insert(강의 공개)",""
"passed","Thu Oct 27 05:58:51 GMT 2022","Thu Oct 27 05:59:06 GMT 2022","14862","","empty spec","","","","5-3. class insert(강의 라이브 강의 참여하기-팝업))",""
"failed","Thu Oct 27 06:01:53 GMT 2022","Thu Oct 27 06:02:16 GMT 2022","22574","","empty spec","","","","6-5. class update(추가 정보))",""
"passed","Thu Oct 27 05:53:06 GMT 2022","Thu Oct 27 05:53:13 GMT 2022","7181","","empty spec","","","","1-4. Login should mypage login & logout",""
"passed","Thu Oct 27 05:53:53 GMT 2022","Thu Oct 27 05:53:57 GMT 2022","4456","","empty spec","","","","2-5. createaccount failse(no checkbox)",""
"failed","Thu Oct 27 06:02:51 GMT 2022","Thu Oct 27 06:03:24 GMT 2022","32710","","empty spec","","","","6-7. class update(강의 관리- 라이브 미팅 추가))",""
"passed","Thu Oct 27 05:53:26 GMT 2022","Thu Oct 27 05:53:41 GMT 2022","15066","","empty spec","","","","2-1. createaccount failse (error email)",""
"passed","Thu Oct 27 05:56:26 GMT 2022","Thu Oct 27 05:57:24 GMT 2022","57292","","empty spec","","","","4-3. site service (구독 나머지)",""
"passed","Thu Oct 27 05:57:54 GMT 2022","Thu Oct 27 05:58:31 GMT 2022","36784","","empty spec","","","","5-1. class insert(강의 라이브 생성))",""
"passed","Thu Oct 27 05:52:38 GMT 2022","Thu Oct 27 05:52:52 GMT 2022","14875","","empty spec","","","","1. login menu test",""
"passed","Thu Oct 27 05:53:03 GMT 2022","Thu Oct 27 05:53:06 GMT 2022","3313","","empty spec","","","","1-3. Login failse(no email & password)",""
"failed","Thu Oct 27 06:03:24 GMT 2022","Thu Oct 27 06:03:53 GMT 2022","29480","","empty spec","","","","6-8. class update(클래스 복제 & 삭제))",""
"failed","Thu Oct 27 06:01:08 GMT 2022","Thu Oct 27 06:01:30 GMT 2022","22574","","empty spec","","","","6-3. class update(클래스 설정)",""
"passed","Thu Oct 27 05:54:09 GMT 2022","Thu Oct 27 05:54:20 GMT 2022","11218","","empty spec","","","","3. mypage page check",""
"passed","Thu Oct 27 05:53:49 GMT 2022","Thu Oct 27 05:53:53 GMT 2022","3701","","empty spec","","","","2-4. createaccount failse(no checkbox)",""
"passed","Thu Oct 27 05:53:41 GMT 2022","Thu Oct 27 05:53:46 GMT 2022","5574","","empty spec","","","","2-2. createaccount failse(no password)",""
"failed","Thu Oct 27 05:58:31 GMT 2022","Thu Oct 27 05:58:51 GMT 2022","20356","","empty spec","","","","5-2. class insert(강의 라이브 강의 참여하기-강의실 입장))",""
"passed","Thu Oct 27 05:52:52 GMT 2022","Thu Oct 27 05:52:57 GMT 2022","4427","","empty spec","","","","1-1. Login failse (error email&error password)",""
"passed","Thu Oct 27 05:52:57 GMT 2022","Thu Oct 27 05:53:03 GMT 2022","5650","","empty spec","","","","1-2. Login failse(no password)",""
"passed","Thu Oct 27 05:59:06 GMT 2022","Thu Oct 27 05:59:21 GMT 2022","15222","","empty spec","","","","5-4. class insert(강의 라이브 강의 참여하기-나의 강의실))",""
"passed","Thu Oct 27 05:53:46 GMT 2022","Thu Oct 27 05:53:49 GMT 2022","2461","","empty spec","","","","2-3. createaccount failse(no email & password)",""
"failed","Thu Oct 27 06:00:08 GMT 2022","Thu Oct 27 06:00:41 GMT 2022","32488","","empty spec","","","","6-1. class update",""
"failed","Thu Oct 27 05:55:20 GMT 2022","Thu Oct 27 05:56:00 GMT 2022","40501","","empty spec","","","","4-1. site check",""
"passed","Thu Oct 27 05:51:50 GMT 2022","Thu Oct 27 05:52:25 GMT 2022","34749","","empty spec","","","","0. 사이트 개설",""
"failed","Thu Oct 27 06:02:16 GMT 2022","Thu Oct 27 06:02:51 GMT 2022","35212","","empty spec","","","","6-6. class update(강의 관리- 라이브 미팅 추가))",""
"passed","Thu Oct 27 05:54:50 GMT 2022","Thu Oct 27 05:55:02 GMT 2022","12006","","empty spec","","","","3-2. editinformation email check",""
"failed","Thu Oct 27 06:00:41 GMT 2022","Thu Oct 27 06:01:08 GMT 2022","26989","","empty spec","","","","6-2. class update(수강생)",""
"failed","Thu Oct 27 05:56:00 GMT 2022","Thu Oct 27 05:56:26 GMT 2022","25892","","empty spec","","","","4-2. site service (구독관리)",""
