"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 15 02:46:17 GMT 2022","Tue Nov 15 02:47:03 GMT 2022","46162","","empty spec","","","","6-8. class update(클래스 복제 & 삭제))",""
"passed","Tue Nov 15 02:34:17 GMT 2022","Tue Nov 15 02:34:44 GMT 2022","27235","","empty spec","","","","4-2. site service (구독관리)",""
"failed","Tue Nov 15 02:39:30 GMT 2022","Tue Nov 15 02:40:53 GMT 2022","82321","","empty spec","","","","6-3. class update(클래스 설정)",""
"passed","Tue Nov 15 02:32:49 GMT 2022","Tue Nov 15 02:33:09 GMT 2022","19993","","empty spec","","","","3-2. editinformation email check",""
"passed","Tue Nov 15 02:34:44 GMT 2022","Tue Nov 15 02:35:43 GMT 2022","58593","","empty spec","","","","4-3. site service (구독 나머지)",""
"passed","Tue Nov 15 02:30:02 GMT 2022","Tue Nov 15 02:30:15 GMT 2022","13271","","empty spec","","","","1-4. Login should mypage login & logout",""
"passed","Tue Nov 15 02:52:37 GMT 2022","Tue Nov 15 02:53:33 GMT 2022","56490","","empty spec","","","","7-3 원복",""
"passed","Tue Nov 15 02:47:03 GMT 2022","Tue Nov 15 02:47:57 GMT 2022","53709","","empty spec","","","","6-9. 원복",""
"passed","Tue Nov 15 02:36:19 GMT 2022","Tue Nov 15 02:36:57 GMT 2022","38185","","empty spec","","","","5-1. class insert(강의 라이브 생성))",""
"passed","Tue Nov 15 02:31:14 GMT 2022","Tue Nov 15 02:31:22 GMT 2022","8486","","empty spec","","","","2-5. createaccount failse(no checkbox)",""
"failed","Tue Nov 15 02:53:33 GMT 2022","Tue Nov 15 02:55:10 GMT 2022","96352","","empty spec","","","","7-4. 무료로 설정한 클래스에서 수강신청을 한 경우 서비스 구독 수강신청 건수 차감 안 됨",""
"failed","Tue Nov 15 02:51:13 GMT 2022","Tue Nov 15 02:51:53 GMT 2022","39384","","empty spec","","","","7-2. 유료에서 할인 금액이 0인 경우 운영자 승인이 활성화되어 있으면 저장 방지",""
"passed","Tue Nov 15 02:30:58 GMT 2022","Tue Nov 15 02:31:06 GMT 2022","8381","","empty spec","","","","2-3. createaccount failse(no email & password)",""
"passed","Tue Nov 15 02:31:39 GMT 2022","Tue Nov 15 02:31:56 GMT 2022","16763","","empty spec","","","","3. mypage page check",""
"passed","Tue Nov 15 02:30:50 GMT 2022","Tue Nov 15 02:30:58 GMT 2022","7761","","empty spec","","","","2-2. createaccount failse(no password)",""
"failed","Tue Nov 15 02:29:11 GMT 2022","Tue Nov 15 02:29:29 GMT 2022","17834","","empty spec","","","","1. login menu test",""
"passed","Tue Nov 15 02:38:05 GMT 2022","Tue Nov 15 02:38:48 GMT 2022","42298","","empty spec","","","","6-1. class update",""
"failed","Tue Nov 15 02:38:48 GMT 2022","Tue Nov 15 02:39:30 GMT 2022","42402","","empty spec","","","","6-2. class update(수강생)",""
"passed","Tue Nov 15 02:31:06 GMT 2022","Tue Nov 15 02:31:14 GMT 2022","7573","","empty spec","","","","2-4. createaccount failse(no checkbox)",""
