"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 24 01:38:33 GMT 2022","Mon Oct 24 01:39:11 GMT 2022","38340","","empty spec","","","","4-2. site service (구독관리)",""
"failed","Mon Oct 24 01:39:11 GMT 2022","Mon Oct 24 01:40:00 GMT 2022","48675","","empty spec","","","","4-3. site service (구독 나머지)",""
"failed","Mon Oct 24 01:38:02 GMT 2022","Mon Oct 24 01:38:33 GMT 2022","31078","","empty spec","","","","4-1. site check",""
