"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Nov 30 04:33:22 GMT 2022","Wed Nov 30 04:33:34 GMT 2022","11980","","empty spec","","","","6-2-3. 강의실 입장",""
"passed","Wed Nov 30 04:20:51 GMT 2022","Wed Nov 30 04:21:23 GMT 2022","32901","","empty spec","","","","5-1. class insert(강의 라이브 생성))",""
"passed","Wed Nov 30 04:28:47 GMT 2022","Wed Nov 30 04:29:23 GMT 2022","36626","","empty spec","","","","6-8. class update(클래스 복제 & 삭제))",""
"passed","Wed Nov 30 04:27:25 GMT 2022","Wed Nov 30 04:28:05 GMT 2022","39839","","empty spec","","","","6-6. class update(강의 관리- 라이브 미팅 추가))",""
"passed","Wed Nov 30 04:32:46 GMT 2022","Wed Nov 30 04:33:22 GMT 2022","35583","","empty spec","","","","6-2-2. 수강생 강의 신청",""
"passed","Wed Nov 30 04:24:34 GMT 2022","Wed Nov 30 04:25:31 GMT 2022","56974","","empty spec","","","","6-4. class update(결제 설정)",""
"failed","Wed Nov 30 04:28:05 GMT 2022","Wed Nov 30 04:28:47 GMT 2022","42038","","empty spec","","","","6-7. class update(강의 관리- 동영상 강의 추가))",""
"passed","Wed Nov 30 04:19:38 GMT 2022","Wed Nov 30 04:20:21 GMT 2022","43468","","empty spec","","","","4-3. site service (구독 나머지)",""
"passed","Wed Nov 30 04:18:36 GMT 2022","Wed Nov 30 04:19:15 GMT 2022","38370","","empty spec","","","","4-1. site check",""
"failed","Wed Nov 30 04:39:18 GMT 2022","Wed Nov 30 04:39:49 GMT 2022","31015","","empty spec","","","","9-1. 게시판 클래스 접근",""
"passed","Wed Nov 30 04:22:48 GMT 2022","Wed Nov 30 04:23:32 GMT 2022","43996","","empty spec","","","","6-2. class update(수강생)",""
"passed","Wed Nov 30 04:15:18 GMT 2022","Wed Nov 30 04:15:30 GMT 2022","12220","","empty spec","","","","1. login menu test",""
"passed","Wed Nov 30 04:31:42 GMT 2022","Wed Nov 30 04:32:46 GMT 2022","63756","","empty spec","","","","6-2-1. 강의 생성",""
"passed","Wed Nov 30 04:37:36 GMT 2022","Wed Nov 30 04:38:16 GMT 2022","39295","","empty spec","","","","8-4. 줌 권한 없는 강사 초대",""
"passed","Wed Nov 30 04:15:47 GMT 2022","Wed Nov 30 04:15:55 GMT 2022","7745","","empty spec","","","","1-3. Login failse(no email & password)",""
"passed","Wed Nov 30 04:19:15 GMT 2022","Wed Nov 30 04:19:38 GMT 2022","23325","","empty spec","","","","4-2. site service (구독관리)",""
"passed","Wed Nov 30 04:38:16 GMT 2022","Wed Nov 30 04:38:50 GMT 2022","34047","","empty spec","","","","8-5. 강사 알림톡 전송",""
"passed","Wed Nov 30 04:16:33 GMT 2022","Wed Nov 30 04:16:40 GMT 2022","6774","","empty spec","","","","2-3. createaccount failse(no email & password)",""
"passed","Wed Nov 30 04:16:40 GMT 2022","Wed Nov 30 04:16:48 GMT 2022","7527","","empty spec","","","","2-4. createaccount failse(no checkbox)",""
"failed","Wed Nov 30 04:34:45 GMT 2022","Wed Nov 30 04:35:20 GMT 2022","35271","","empty spec","","","","8-1. 5분 후, 정각, 5분 전 , 15분 전, 30분 전 강의 만들기",""
"passed","Wed Nov 30 04:14:30 GMT 2022","Wed Nov 30 04:15:05 GMT 2022","34283","","empty spec","","","","0. 사이트 개설",""
"failed","Wed Nov 30 04:35:20 GMT 2022","Wed Nov 30 04:35:51 GMT 2022","31314","","empty spec","","","","8-2. 강의 공개",""
"failed","Wed Nov 30 04:36:54 GMT 2022","Wed Nov 30 04:37:36 GMT 2022","41996","","empty spec","","","","8-3. 줌 권한 있는 강사 초대",""
"passed","Wed Nov 30 04:23:32 GMT 2022","Wed Nov 30 04:24:34 GMT 2022","62692","","empty spec","","","","6-3. class update(클래스 설정)",""
"passed","Wed Nov 30 04:22:12 GMT 2022","Wed Nov 30 04:22:47 GMT 2022","35972","","empty spec","","","","6-1. class update",""
"passed","Wed Nov 30 04:25:31 GMT 2022","Wed Nov 30 04:27:25 GMT 2022","113258","","empty spec","","","","6-5. class update(추가 정보))",""
"passed","Wed Nov 30 04:15:55 GMT 2022","Wed Nov 30 04:16:04 GMT 2022","9012","","empty spec","","","","1-4. Login should mypage login & logout",""
"failed","Wed Nov 30 04:21:23 GMT 2022","Wed Nov 30 04:21:54 GMT 2022","30081","","empty spec","","","","5-5. class insert(강의 공개)",""
"passed","Wed Nov 30 04:16:18 GMT 2022","Wed Nov 30 04:16:27 GMT 2022","8218","","empty spec","","","","2-1. createaccount failse (error email)",""
"passed","Wed Nov 30 04:35:51 GMT 2022","Wed Nov 30 04:36:28 GMT 2022","36854","","empty spec","","","","8-3. 강의 신청",""
"passed","Wed Nov 30 04:16:27 GMT 2022","Wed Nov 30 04:16:33 GMT 2022","6733","","empty spec","","","","2-2. createaccount failse(no password)",""
"passed","Wed Nov 30 04:16:48 GMT 2022","Wed Nov 30 04:16:55 GMT 2022","7421","","empty spec","","","","2-5. createaccount failse(no checkbox)",""
"passed","Wed Nov 30 04:29:23 GMT 2022","Wed Nov 30 04:30:03 GMT 2022","39805","","empty spec","","","","6-9. 원복",""
"passed","Wed Nov 30 04:15:30 GMT 2022","Wed Nov 30 04:15:39 GMT 2022","8298","","empty spec","","","","1-1. Login failse (error email&error password)",""
"passed","Wed Nov 30 04:15:39 GMT 2022","Wed Nov 30 04:15:47 GMT 2022","8544","","empty spec","","","","1-2. Login failse(no password)",""
"passed","Wed Nov 30 04:17:08 GMT 2022","Wed Nov 30 04:17:21 GMT 2022","13068","","empty spec","","","","3. mypage page check",""
"passed","Wed Nov 30 04:18:01 GMT 2022","Wed Nov 30 04:18:17 GMT 2022","16146","","empty spec","","","","3-2. editinformation email check",""
"passed","Wed Nov 30 04:17:21 GMT 2022","Wed Nov 30 04:18:01 GMT 2022","40104","","empty spec","","","","3-1. editinformation page check",""
"failed","Wed Nov 30 04:33:34 GMT 2022","Wed Nov 30 04:34:10 GMT 2022","35624","","empty spec","","","","6-2-4. 강의실 커뮤니티&과제 글 삭제",""
