"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 28 05:09:50 GMT 2022","Fri Oct 28 05:11:24 GMT 2022","94484","","empty spec","","","","7-1. 무료로 설정한 클래스에서 운영자 승인이 활성화되어 있으면 저장 방지 확인",""
"failed","Fri Oct 28 05:13:44 GMT 2022","Fri Oct 28 05:14:28 GMT 2022","43662","","empty spec","","","","7-5. 유료로 설정한 클래스에서 할인 금액이 0인 경우 서비스 구독 수강신청 건수 차감 안 됨",""
"passed","Fri Oct 28 05:11:55 GMT 2022","Fri Oct 28 05:12:24 GMT 2022","28280","","empty spec","","","","7-3. 유료로 설정한 클래스이거나 할인 금액이 0보다 큰 경우 운영자 승인이 활성화되어도 저장 가능",""
"passed","Fri Oct 28 05:11:25 GMT 2022","Fri Oct 28 05:11:55 GMT 2022","30853","","empty spec","","","","7-2. 유료에서 할인 금액이 0인 경우 운영자 승인이 활성화되어 있으면 저장 방지",""
"passed","Fri Oct 28 05:14:28 GMT 2022","Fri Oct 28 05:14:54 GMT 2022","26706","","empty spec","","","","7-6. 원복",""
"passed","Fri Oct 28 05:12:24 GMT 2022","Fri Oct 28 05:12:48 GMT 2022","24564","","empty spec","","","","원복",""
"failed","Fri Oct 28 05:12:48 GMT 2022","Fri Oct 28 05:13:44 GMT 2022","55539","","empty spec","","","","7-4. 무료로 설정한 클래스에서 수강신청을 한 경우 서비스 구독 수강신청 건수 차감 안 됨",""
