"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Oct 28 00:26:36 GMT 2022","Fri Oct 28 00:27:13 GMT 2022","37374","","empty spec","","","","7-4. 무료로 설정한 클래스에서 수강신청을 한 경우 서비스 구독 수강신청 건수 차감 안 됨",""
"passed","Fri Oct 28 00:24:30 GMT 2022","Fri Oct 28 00:25:38 GMT 2022","68003","","empty spec","","","","7-1. 무료로 설정한 클래스에서 운영자 승인이 활성화되어 있으면 저장 방지 확인",""
"passed","Fri Oct 28 00:25:38 GMT 2022","Fri Oct 28 00:26:10 GMT 2022","32148","","empty spec","","","","7-2. 유료에서 할인 금액이 0인 경우 운영자 승인이 활성화되어 있으면 저장 방지",""
"passed","Fri Oct 28 00:26:10 GMT 2022","Fri Oct 28 00:26:36 GMT 2022","25136","","empty spec","","","","7-3. 유료로 설정한 클래스이거나 할인 금액이 0보다 큰 경우 운영자 승인이 활성화되어도 저장 가능",""
"failed","Fri Oct 28 00:27:59 GMT 2022","Fri Oct 28 00:28:40 GMT 2022","41086","","empty spec","","","","7-6. 원복",""
"failed","Fri Oct 28 00:27:13 GMT 2022","Fri Oct 28 00:27:59 GMT 2022","45927","","empty spec","","","","7-5. 유료로 설정한 클래스에서 할인 금액이 0인 경우 서비스 구독 수강신청 건수 차감 안 됨",""
