"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 01:01:22 GMT 2022","Wed Oct 26 01:02:19 GMT 2022","56288","","empty spec","","","","6-6. class update(강의 관리- 라이브 미팅 추가))",""
"passed","Wed Oct 26 01:03:09 GMT 2022","Wed Oct 26 01:03:50 GMT 2022","40870","","empty spec","","","","6-8. class update(클래스 복제 & 삭제))",""
"failed","Wed Oct 26 00:56:21 GMT 2022","Wed Oct 26 00:56:52 GMT 2022","31175","","empty spec","","","","6-2. class update(수강생)",""
"passed","Wed Oct 26 00:58:58 GMT 2022","Wed Oct 26 01:01:22 GMT 2022","143648","","empty spec","","","","6-5. class update(추가 정보))",""
"failed","Wed Oct 26 00:57:56 GMT 2022","Wed Oct 26 00:58:58 GMT 2022","61398","","empty spec","","","","6-4. class update(결제 설정)",""
"failed","Wed Oct 26 00:56:52 GMT 2022","Wed Oct 26 00:57:56 GMT 2022","64382","","empty spec","","","","6-3. class update(클래스 설정)",""
"passed","Wed Oct 26 00:55:25 GMT 2022","Wed Oct 26 00:56:21 GMT 2022","55758","","empty spec","","","","6-1. class update",""
"failed","Wed Oct 26 01:02:19 GMT 2022","Wed Oct 26 01:03:09 GMT 2022","50363","","empty spec","","","","6-7. class update(강의 관리- 라이브 미팅 추가))",""
