"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 14 06:12:14 GMT 2022","Mon Nov 14 06:12:40 GMT 2022","25937","","empty spec","","","","4-2. site service (구독관리)",""
"failed","Mon Nov 14 06:24:40 GMT 2022","Mon Nov 14 06:25:15 GMT 2022","34283","","empty spec","","","","7-5. 유료로 설정한 클래스에서 할인 금액이 0인 경우 서비스 구독 수강신청 건수 차감 안 됨",""
"passed","Mon Nov 14 06:08:43 GMT 2022","Mon Nov 14 06:08:52 GMT 2022","9249","","empty spec","","","","2-2. createaccount failse(no password)",""
"passed","Mon Nov 14 06:13:55 GMT 2022","Mon Nov 14 06:14:43 GMT 2022","47857","","empty spec","","","","5-1. class insert(강의 라이브 생성))",""
"failed","Mon Nov 14 06:07:09 GMT 2022","Mon Nov 14 06:07:27 GMT 2022","17762","","empty spec","","","","1. login menu test",""
"passed","Mon Nov 14 06:14:43 GMT 2022","Mon Nov 14 06:15:23 GMT 2022","40307","","empty spec","","","","5-5. class insert(강의 공개)",""
"passed","Mon Nov 14 06:15:45 GMT 2022","Mon Nov 14 06:16:35 GMT 2022","49244","","empty spec","","","","6-1. class update",""
"passed","Mon Nov 14 06:20:59 GMT 2022","Mon Nov 14 06:21:49 GMT 2022","50804","","empty spec","","","","6-8. class update(클래스 복제 & 삭제))",""
"passed","Mon Nov 14 06:12:40 GMT 2022","Mon Nov 14 06:13:27 GMT 2022","47216","","empty spec","","","","4-3. site service (구독 나머지)",""
"failed","Mon Nov 14 06:25:15 GMT 2022","Mon Nov 14 06:25:56 GMT 2022","41733","","empty spec","","","","7-6. 원복",""
"passed","Mon Nov 14 06:06:19 GMT 2022","Mon Nov 14 06:06:56 GMT 2022","36654","","empty spec","","","","0. 사이트 개설",""
"failed","Mon Nov 14 06:24:02 GMT 2022","Mon Nov 14 06:24:40 GMT 2022","38008","","empty spec","","","","7-4. 무료로 설정한 클래스에서 수강신청을 한 경우 서비스 구독 수강신청 건수 차감 안 됨",""
"passed","Mon Nov 14 06:09:55 GMT 2022","Mon Nov 14 06:10:44 GMT 2022","48928","","empty spec","","","","3-1. editinformation page check",""
"failed","Mon Nov 14 06:20:08 GMT 2022","Mon Nov 14 06:20:59 GMT 2022","50491","","empty spec","","","","6-7. class update(강의 관리- 라이브 미팅 추가))",""
"passed","Mon Nov 14 06:09:01 GMT 2022","Mon Nov 14 06:09:10 GMT 2022","9188","","empty spec","","","","2-4. createaccount failse(no checkbox)",""
"passed","Mon Nov 14 06:08:52 GMT 2022","Mon Nov 14 06:09:01 GMT 2022","9313","","empty spec","","","","2-3. createaccount failse(no email & password)",""
"passed","Mon Nov 14 06:10:44 GMT 2022","Mon Nov 14 06:11:03 GMT 2022","19539","","empty spec","","","","3-2. editinformation email check",""
"failed","Mon Nov 14 06:07:38 GMT 2022","Mon Nov 14 06:07:52 GMT 2022","14190","","empty spec","","","","1-2. Login failse(no password)",""
"failed","Mon Nov 14 06:08:02 GMT 2022","Mon Nov 14 06:08:16 GMT 2022","14171","","empty spec","","","","1-4. Login should mypage login & logout",""
"passed","Mon Nov 14 06:11:24 GMT 2022","Mon Nov 14 06:12:14 GMT 2022","49247","","empty spec","","","","4-1. site check",""
"failed","Mon Nov 14 06:21:50 GMT 2022","Mon Nov 14 06:22:42 GMT 2022","51990","","empty spec","","","","6-9. 원복",""
"failed","Mon Nov 14 06:18:39 GMT 2022","Mon Nov 14 06:19:23 GMT 2022","44281","","empty spec","","","","6-5. class update(추가 정보))",""
"passed","Mon Nov 14 06:07:52 GMT 2022","Mon Nov 14 06:08:02 GMT 2022","9639","","empty spec","","","","1-3. Login failse(no email & password)",""
"failed","Mon Nov 14 06:17:15 GMT 2022","Mon Nov 14 06:17:56 GMT 2022","40301","","empty spec","","","","6-3. class update(클래스 설정)",""
"passed","Mon Nov 14 06:09:39 GMT 2022","Mon Nov 14 06:09:55 GMT 2022","15962","","empty spec","","","","3. mypage page check",""
"failed","Mon Nov 14 06:16:35 GMT 2022","Mon Nov 14 06:17:15 GMT 2022","40596","","empty spec","","","","6-2. class update(수강생)",""
"passed","Mon Nov 14 06:08:33 GMT 2022","Mon Nov 14 06:08:43 GMT 2022","9933","","empty spec","","","","2-1. createaccount failse (error email)",""
"passed","Mon Nov 14 06:07:27 GMT 2022","Mon Nov 14 06:07:38 GMT 2022","10550","","empty spec","","","","1-1. Login failse (error email&error password)",""
"failed","Mon Nov 14 06:19:23 GMT 2022","Mon Nov 14 06:20:08 GMT 2022","44994","","empty spec","","","","6-6. class update(강의 관리- 라이브 미팅 추가))",""
"failed","Mon Nov 14 06:09:10 GMT 2022","Mon Nov 14 06:09:24 GMT 2022","13727","","empty spec","","","","2-5. createaccount failse(no checkbox)",""
"failed","Mon Nov 14 06:17:56 GMT 2022","Mon Nov 14 06:18:39 GMT 2022","43159","","empty spec","","","","6-4. class update(결제 설정)",""
